iter	Passed	Remaining
0	130	65036
1	257	64140
2	391	64853
3	529	65605
4	665	65877
5	810	66701
6	950	66964
7	1095	67395
8	1240	67681
9	1379	67609
10	1518	67526
11	1653	67255
12	1804	67593
13	1946	67570
14	2087	67482
15	2223	67251
16	2366	67237
17	2502	67015
18	2643	66925
19	2800	67201
20	2943	67140
21	3094	67241
22	3240	67214
23	3382	67084
24	3517	66837
25	3662	66771
26	3809	66739
27	3949	66582
28	4089	66425
29	4232	66313
30	4365	66040
31	4498	65793
32	4633	65572
33	4775	65455
34	4919	65356
35	5047	65057
36	5188	64922
37	5312	64590
38	5448	64409
39	5585	64234
40	5725	64099
41	5866	63972
42	5990	63669
43	6129	63525
44	6258	63285
45	6385	63024
46	6509	62737
47	6645	62578
48	6777	62381
49	6922	62298
50	7046	62040
51	7178	61842
52	7305	61615
53	7430	61372
54	7558	61153
55	7696	61023
56	7835	60894
57	7965	60704
58	8088	60457
59	8209	60201
60	8329	59947
61	8453	59722
62	8580	59520
63	8719	59401
64	8866	59340
65	8995	59151
66	9133	59029
67	9258	58816
68	9384	58621
69	9519	58477
70	9645	58278
71	9780	58138
72	9918	58015
73	10049	57850
74	10182	57699
75	10305	57496
76	10431	57304
77	10560	57135
78	10690	56972
79	10826	56839
80	10958	56689
81	11107	56619
82	11255	56546
83	11388	56401
84	11517	56233
85	11648	56077
86	11785	55946
87	11929	55851
88	12054	55668
89	12187	55518
90	12320	55373
91	12442	55181
92	12584	55071
93	12712	54906
94	12849	54778
95	12980	54624
96	13114	54486
97	13256	54377
98	13386	54220
99	13506	54024
100	13641	53889
101	13765	53714
102	13906	53601
103	14044	53478
104	14175	53325
105	14298	53146
106	14420	52964
107	14557	52837
108	14691	52700
109	14819	52541
110	14956	52415
111	15091	52280
112	15235	52176
113	15361	52014
114	15489	51855
115	15634	51754
116	15777	51648
117	15915	51522
118	16043	51367
119	16199	51298
120	16320	51119
121	16452	50975
122	16584	50831
123	16729	50728
124	16869	50607
125	16997	50452
126	17117	50275
127	17254	50145
128	17387	50006
129	17526	49883
130	17660	49745
131	17796	49614
132	17939	49501
133	18068	49350
134	18188	49175
135	18320	49034
136	18457	48906
137	18584	48749
138	18707	48585
139	18853	48481
140	18995	48364
141	19127	48222
142	19262	48088
143	19387	47929
144	19524	47801
145	19673	47702
146	19810	47573
147	19951	47452
148	20091	47328
149	20231	47206
150	20359	47056
151	20499	46932
152	20639	46810
153	20767	46659
154	20904	46528
155	21048	46413
156	21183	46279
157	21329	46169
158	21449	46000
159	21573	45844
160	21714	45722
161	21844	45577
162	21986	45456
163	22116	45312
164	22257	45189
165	22392	45054
166	22537	44940
167	22659	44780
168	22803	44662
169	22953	44556
170	23075	44396
171	23221	44282
172	23353	44142
173	23475	43983
174	23622	43869
175	23757	43736
176	23905	43625
177	24031	43472
178	24161	43328
179	24310	43218
180	24448	43088
181	24594	42972
182	24735	42847
183	24879	42728
184	25025	42611
185	25167	42487
186	25310	42363
187	25439	42218
188	25574	42082
189	25707	41943
190	25844	41811
191	25967	41656
192	26097	41512
193	26221	41359
194	26356	41224
195	26498	41099
196	26641	40976
197	26778	40843
198	26919	40716
199	27062	40593
200	27200	40462
201	27340	40333
202	27481	40206
203	27639	40103
204	27785	39984
205	27933	39865
206	28071	39734
207	28213	39606
208	28333	39450
209	28475	39322
210	28599	39171
211	28721	39018
212	28860	38887
213	29006	38765
214	29169	38666
215	29314	38542
216	29478	38444
217	29620	38315
218	29771	38200
219	29913	38071
220	30078	37972
221	30223	37847
222	30369	37723
223	30511	37594
224	30648	37459
225	30779	37316
226	30908	37171
227	31049	37041
228	31182	36901
